Segment,KodKraju,Miasto,KodPocztowy,anon_NrKarty,anon_Nazwa,anon_IdKlienta,anon_Plec,anon_DataUr
01,PL,LUBZINA,39-102,7301634730b2e7fe86b17acad9494391,cb9ca2faa4bdfb37185202b121762583,2a319ef5c3bc5125e3c3b146176bf36d,K,1972-11-08 00:00:00.000
01,PL,ROPCZYCE,39-100,9087b5c9128c58e16b7e7e548cd45f96,a47e16cbd80daa04f097a5c0f583aa5a,cad45ef8dede73d0d8a0b86e3e08bf6a,K,1994-05-17 00:00:00.000
01,PL,ROPCZYCE,39-100,bc93fb5b6dd8248e8401a1428f9521bc,de32cce9ef8a91836e0da569640982ef,16e016c36bd2a62c3782dd91823249fb,K,1959-01-24 00:00:00.000
01,PL,ROPCZYCE,39-100,5f4db177fc9dcac1afeec74792d507d7,13d84a48777d4d617f6502b9c2ab2747,5c23d7290fffb48386283ce508651a25,K,1967-09-23 00:00:00.000
01,PL,ROPCZYCE,39-100,d6324fd94d9696f7cbaca6bafd58b3bb,57f311a936c6b2fb8feb48511340c50b,075537bba4fd29f3dae27af309cc8c1d,K,1990-10-11 00:00:00.000
01,PL,SĘDZISZÓW MŁP.,39-120,4fe747f37716dfbc729d8b83a19d465e,cdafc42b2eae849c1a4addc829446b15,bbfca009a39b0e0d811316f44d3c7222,K,1961-12-23 00:00:00.000
01,PL,SĘDZISZÓW  MŁP,39-120,0f6bc6b7152ca459e81f654da69b69af,557375fe3c55544d7ab4c402c7d947e9,d540c1f112a0e33ce6fa5ad7bdd75d77,K,1962-06-26 00:00:00.000
01,PL,SĘDZISZÓW MŁP,39-120,df290679864747d37a95d1ec5eda5105,59e3ee25bd0b82158a954c064d5a8d35,5b83e150395780807a6372d4b09130d1,K,1972-09-04 00:00:00.000
01,PL,SĘDZISZÓW MŁP.,39-120,5937eaa703f62dba22faf9e9b967470f,6440880f041d66b0f562042892ef3cf7,ea6ebd213aed844d607afdd30ff5612c,K,1969-11-05 00:00:00.000
01,PL,ŁĄCZKI KUCHARSKIE,39-106,01cc08668ad3b9b7dfbe93e3aca8168f,1e50581da518717cbbad98a3602e15aa,bb8c425f8bac81cf736e6c9babdc4a81,K,1955-05-27 00:00:00.000
01,PL,ROPCZYCE,39-100,10ef32d6bc2e2966809c211cedc3dd8a,0821de956de07b2048df5938ed4cac01,a4b64d7fdd175f66de9fe420e380d858,K,1956-06-03 00:00:00.000
01,PL,ROPCZYCE,39-100,6e6e7b4613fc602e422322b76b5265bb,7f57d280098e6f3ce55618709196aa3b,b948d6f557be7c48ba5837ce01f4de47,K,1975-06-19 00:00:00.000
01,PL,ROPCZYCE,39-100,a7bf90686102007aea4a1ba5d962675c,7b3b135231ba8acaa456b18c5d48a37e,527a5c45d87d6c4be023f34ed378acde,K,1967-07-20 00:00:00.000
01,PL,ROPCZYCE,39-100,9dd4932d4b1c07d45fedfd37c06ced9f,c7eb122787b7193301faa6ae84ba19df,545cb2c09d8c037a4c6b71bb3e03a73a,K,1977-04-06 00:00:00.000
01,PL,SĘDZISZÓW MŁP.,39-120,dcb7b0a8555bdbbb3de33ac21187829b,cc6093f5a2f47f910d0f89701a09a405,764092fd03627bbba980fca712cd3e00,K,1961-11-02 00:00:00.000
01,PL,DĘBICA,39-200,e184c6e171da150717dc5c374e885a5a,1872b567c297ce332431f4cec470c3ba,79a4307fe79fe2ac86ca62ca6d72a642,K,1998-04-23 00:00:00.000
01,PL,KAMIONKA,39-122,9f29a68c32db3e55a703a26e144c9c35,928b48c8b5f05bc85b30c58c91334128,54f539b43ffbc0e85f93071d51f44799,K,1961-05-09 00:00:00.000
01,PL,PUSTKÓW,39-205,27628948c764977a14420d0f1670c6a4,f74915b2932565384845bf94347294f2,e1453276879df883a4ae7d4287cba954,K,1961-11-22 00:00:00.000
01,PL,ROPCZYCE,39-100,1a1a45ad98e7272ebcdad3d7b5f9f087,343c9f271396f48315b4b1e0819dd29c,d40945a7fce4d6816be5aa7ef3d68f8e,K,1983-07-09 00:00:00.000
01,PL,OCIEKA,39-104,87ff8d510a3659d585dc76b48502444f,cf0f29eaea25bf12bef8f99a418bdf8b,9cc2eddc014ccccdc496bb31b9181cfc,K,1966-10-04 00:00:00.000
01,PL,OSTRÓW,39-103,05701253b436d6e899087bfa311977af,02b24ea5dc25987900159461556fd30b,433c152166fda44393f00b770b8fcfd3,K,1985-10-05 00:00:00.000
01,PL,ROPCZYCE,39-100,37a167a8e6412d55578f93c3b89feb3a,cfa53aea667dfe793a19f4c80ffbbd51,4e6e0242a7a5c17864ea016550da0f61,K,1950-08-22 00:00:00.000
01,PL,OCIEKA,39-104,9fd3c3e26a2c17b8939a259f0870b39c,5b8c762bbf755aba4c256a2118d9c32d,7a56dc99284260014ba41c4ed096bc98,K,1947-02-20 00:00:00.000
01,PL,SĘDZISZÓW MŁP.,39-120,63827afd8c13b2dc59583ba12a2b46e9,6e45b476db37c5ff2650ceeb10d11e1c,2b6f6f3ac4e665240c46bf8177b920d4,K,1957-01-21 00:00:00.000
01,PL,SĘDZISZÓW MŁP.,39-120,2786cd5b52652812fea9e46f0a0c8d95,c8638bafec7daa15308be9ac856f805e,218311c98c86dd57fd4d55db5e97168c,K,1947-02-22 00:00:00.000
01,PL,ROPCZYCE,39-100,f1a0f189fb36e0aeec2348be7e7e9b70,baaa29c40be2466e1623ad365cb8e939,17f2a50823860b9e61b837b9691032ff,K,1983-02-10 00:00:00.000
01,PL,ROPCZYCE,39-100,6beace0c4e00925564f6bbe2a2c53131,6ff31d773121b2a557ab7aa2e7d53626,943238047fd3e87d1f3de5249eb93bc0,K,1984-08-15 00:00:00.000
01,PL,OCIEKA,39-104,025ff75028867d4040b90ac9d787ab76,7c9339c41fd913a25a324323f72158a7,c74f0aa7ae0ef9fca80536a709332742,K,1975-02-04 00:00:00.000
01,PL,SĘDZISZÓW MŁP.,39-120,393beb519c32bc5d1d99105178d0a359,418579ae2a97654b04ea982b7f486fce,bb5699537ce849ef0ad65f0484a1ca5e,K,1984-02-25 00:00:00.000
01,PL,ROPCZYCE,39-100,65d9030f505d800767969309ed98471f,9ca1e8da958ec8430f3faf0765166af0,59dde8e422fbfee38d2e9fa7fc385506,K,1950-04-11 00:00:00.000
01,PL,IWIERZYCE,39-124,4616b0135481cb3d9a33b7265bd74dcc,163e67cc2e5dafdcde3970c3d7141a47,77a548ef1dde0dc8dadc9432fbc6f09d,K,1960-04-11 00:00:00.000
01,PL,OCIEKA,39-104,030deaf4f235f35c5126381a0cbf460c,eaaf8ccca172c047077922c410e8a0cd,4d1b3dba66d4d2c5e8344feefb2e8465,K,1944-02-01 00:00:00.000
01,PL,ROPCZYCE,39-100,e5fab7f78316e43c730e6329649678cd,0e52e8f2e72339d71287645d86fbf91b,b577c3a23ddde2f40929e34a6bfe082e,K,1967-10-14 00:00:00.000
01,PL,ROPCZYCE,39-100,81ce8e18db4ded511566796eb5653a05,8d87c9ae1b40e277b86396b27a3f961e,fa417afbaff54973ed54dad72a896405,K,1953-09-22 00:00:00.000
01,PL,SĘDZISZÓW MŁP.,39-120,1bc95dcb08fce1aefca30b5ab9c603c7,bb892cf93b1373e8274dfa4628a7a3b5,bd88b31e69076c497fc22c07c63fa014,K,1986-04-21 00:00:00.000
01,PL,RZESZÓW,35-061,44a8fbf04a9fe1322e98797abbfeb9c0,816a9770f69d586b194ff75de1047f21,e592d49711ea7da14fe2f3f87033f5a5,K,1964-11-26 00:00:00.000
01,PL,WIELOPOLE SKRZYŃSKIE,39-110,a90c423d358b9d5a78c1c23fb18abd9d,d1f3742d718b0e3b0d9c0b456cab4e9b,202d8c2688212e59a37edb86dc865a3d,K,1962-04-07 00:00:00.000
01,PL,ROPCZYCE,39-100,c981c7cda1de20f7551f606e47f96fca,0ddc771fc37e99b1e8de8b2ea7da4657,c9492db6692cd48925595eb74bc5c698,K,1978-02-06 00:00:00.000
01,PL,KOLBUSZOWA,36-100,d3c4d38c58244dcad386eb42f4ca2624,4909807720f17b03d5f70f0608712585,f3ee868ce332b1f43ac8f8a11c533d10,K,1976-08-23 00:00:00.000
03,PL,IWIERZYCE,39-124,ac2c3805d3f3a12fd7d6d99a11ce0a63,236a7cb02be31682446f12715f8fdba3,ccc72102f470ceb62cea5ac7a8a21b82,K,1977-06-26 00:00:00.000
01,PL,OCIEKA,39-104,7c9c6b85785c24621fe6f98f7db83907,3e353eda696c4f0f342d52bafc6ce9f3,d0b1ab1fb059fc859f33ca952b698880,K,1969-09-03 00:00:00.000
03,PL,ROPCZYCE,39-100,a771444d93e48a57674913143d062097,ce9b201019ed0fd0942e6d4ac83291a1,d9f19a0b0d08cef34c6f56f694c4f561,K,1985-07-19 00:00:00.000
01,PL,GNOJNICA,39-105,148fe40020fbd55c9ebe1efe2d3ee996,51bf6c6bffa4e45089f58e058eebbda2,2beb97f0e01f3f0c8d96a7fd995186c2,K,1974-12-18 00:00:00.000
01,PL,ROPCZYCE,39-100,1aa5a9b697b39a3691be0f591404353e,d016db2011a4960406644d6a248cccbd,763db38430a33e30a94b5e4fed54ba06,K,1970-10-17 00:00:00.000
