RowId,TypKarty,TxnKod,TxnData,TxnCzas,DataPrzetw,DCC,CTLS,PIN,CB,ProductID,MC_Card_Program,MC_GCMS_Program,MC_Product_Class,PEM,MOTO,TypeClass,TypePayment,Region,Country,anon_MID,anon_POS_ID,anon_NrKarty,anon_AuthKod,anon_Kwota,anon_Interchange,anon_MSC,anon_FlatFee,anon_CashAmount
1497431,M,2012,20180801,073143,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,8fef96ce980cba8ff8f08de425001e8b,ba844774090c9a810439061facbf452d,63e0ac7925fd6ed5a909dec30254bd0e,UHNLPQ,45.74,-0.08,1.00,0.00,0.00
1497435,M,2012,20180801,172557,20180801,0,0,1,0,MDU,DMC,MDS,DMC,C,NULL,I,D,P,PL,c12e12f648fd0bb327385887a112031a,a7686cf7a9426fb28826183c728bdafd,2beecf7d057c799fa036cea29378a8dd,QGQJNY,28.65,-0.05,1.00,0.00,0.00
1497436,M,2012,20180801,070751,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,7c9797b73283de6f067270d0ccebaa3f,5ab3a6ea538e87285adf0a9fcdca3fea,51a38c2e8b8be3e97aa6f0c6ff70c112,ITKIQT,10.79,-0.01,1.00,0.00,0.00
1497437,M,2012,20180801,170654,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,e467f14fb2b81847acf9a7b1a69c5061,64e5ea2ee09eb3217defa4f7c9beeab5,51a38c2e8b8be3e97aa6f0c6ff70c112,YFTJKA,21.19,-0.03,1.00,0.00,0.00
1497443,M,2012,20180801,122720,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,b698920f6829768d3a6ff8b5ea95a667,674bba835908b46b32a1155478644d27,ef48d212400df7664e3ac1aedfa932ef,DPFQOO,50.33,-0.09,1.00,0.00,0.00
1497446,M,2012,20180801,140125,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,9594263e818d5dbe095d0f1e537ea788,36038746e4bc028bbe1ae57ce99dab86,ca9095e15fc4815671f87b69d47c3ab9,ZHVOXI,9.56,-0.01,1.00,0.00,0.00
1497447,M,2012,20180801,120559,20180801,0,0,1,0,MDU,DMC,MDS,DMC,C,NULL,I,D,P,PL,a6eb041c9223101ed4ae77f63d5049fe,b53729d70749f59ee7e288e73cef61cf,3ee9cf413ba1a8c4465b453cb628998d,BLNJYD,308.43,-0.61,1.00,0.00,0.00
1497448,M,2012,20180801,100753,20180801,0,0,1,0,MDU,DMC,MDS,DMC,C,NULL,I,D,P,PL,71ba9a374cf42f979c4b7730d5d806b9,ea99ceedafe48c0c63bbf184d8680404,45ad3cdde1e37203e2de8e35db79ad52,DPZXZR,79.77,-0.15,1.00,0.00,0.00
1497451,M,2012,20180801,140241,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,02873c2c3ccbb36d7a819218398f9570,3ecd74d2f0545b177b9b7fecf47c4248,0847e42f3acce941e9654cd9725a8d58,GVAKKC,6.69,-0.01,1.00,0.00,0.00
1497453,M,2012,20180801,111313,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,9075211d64a40427ebe2dbe219705df0,94efb7b0be6eb372fc3fc6712efca85d,92c5cac21303809cd95961ce4ca0b5f4,VATGSH,63.79,-0.12,1.00,0.00,0.00
1497454,M,2012,20180801,135127,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,b5a93f475413780c0dbfc89ba984af77,b7ce330d834d056b15c963b593883aa3,09685c92a8d14b743202e4e2d12658b6,OMSPES,17.40,-0.03,1.00,0.00,0.00
1497455,M,2012,20180801,192917,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,9e2c0a9016c3e2c1bfad2cbc1a6a419d,f1f96e1f93e4eb76a36d0dccf485d39d,09685c92a8d14b743202e4e2d12658b6,LQONLK,38.37,-0.07,1.00,0.00,0.00
1497458,M,2012,20180801,191618,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,b2913bf252c72543d5dc3e128bbadc71,5f5cb6ad093613d46d38189855cda08d,714f4c7931e48adeffea0f82592dfe8b,YKFXNG,13.07,-0.02,1.00,0.00,0.00
1497461,M,2012,20180801,175634,20180801,0,0,1,0,MDU,DMC,MDS,DMC,C,NULL,I,D,P,PL,c87a06f40319c897677ce37d3b08b084,ee7bb72bd23593af5cf18d5921477ceb,f096f042b72cfbbc2623134492d1822b,QGFZCI,128.92,-0.26,1.00,0.00,0.00
1497462,M,2012,20180801,180104,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,7a89bcf472a566e2b48e4a3c7d3859e8,fe2a56c06b86907ab5704588f89736dc,f096f042b72cfbbc2623134492d1822b,DGRZSL,17.75,-0.03,1.00,0.00,0.00
1497463,M,2012,20180801,212631,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,6f6694c225e87484092ad70724cadfb0,1377cf6cc95663518154030e15e4e1b1,87442e135ce225663825f14446203855,RVFRVQ,102.08,-0.20,1.00,0.00,0.00
1497478,M,2012,20180801,182102,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,ce264ef66eb452d70f7f0738d8dd6907,4ee2a078d310e9f243d7ff89616514db,5c809c2ff2b0839099df8bc27ab6938e,BATHXV,4.59,0.00,1.00,0.00,0.00
1497482,M,2012,20180801,155933,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,7ac503cd046d90268f53a4ed440dccad,7b3d7eaee10b3019fa622786d254dcf4,85d1a9a5c106405b0332061c7e055663,RVKOBI,38.94,-0.07,1.00,0.00,0.00
1497485,M,2012,20180801,081631,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,d3a6bd99ca0e42cefec773bd312d8e6a,771c81ca93ecfa9111445a91328239d8,9ae0648192833b66d73cc26f5847a162,JCCEHK,17.42,-0.03,1.00,0.00,0.00
1497490,M,2012,20180801,132211,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,1e72c1dff02b804f4adf4e26a5a252c4,70a21f44b13c91b273a3f0248a1239dc,a0a7efae3b050d9ec37cf8cf4d7abdbe,FJBLWD,57.47,-0.10,1.00,0.00,0.00
1497493,M,2012,20180801,141847,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,298d59a24fcfaf36a93074da274fc9f0,af4ae63ca6f97adabe7369698e4727ba,0c04548b7e02c5d179cc6b0996dda0df,QAJPHA,29.56,-0.06,1.00,0.00,0.00
1497497,M,2012,20180801,182541,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,4bb8fe9006c3beff895f68f4e315c980,68c3e0fe27020caa35e464cb89552c13,aa09aee14e2e7a76cc02ca8cdfe161bd,CWMMKH,413.66,-0.82,1.00,0.00,0.00
1497501,M,2012,20180801,155243,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,8dcaf086dd7666f3104391a1c47e044d,5259aeab7dd7e87ba79bde89815c2788,1398d49b472167afed3cb4074c9c3895,YBRFGJ,68.44,-0.13,1.00,0.00,0.00
1497508,M,2012,20180801,115647,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,7f069df3952a226ccba4c7c3c0675843,af4cf3d89a00117bc6e20a15090d2a60,9c0e4625a3519bb2429be6e6be7b1f64,EPGEHX,23.20,-0.05,1.00,0.00,0.00
1497509,M,2012,20180801,174710,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,7a9959f0da74e1c8b7e8958c321c6067,79c19f64512f85622374338d7d80712b,f5e2a2770cedf5c0745b550ea87e3bb4,KAYMHJ,56.54,-0.10,1.00,0.00,0.00
1497512,M,2012,20180801,111306,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,5bf1d6b7586e7e1e1ccc59d4115033cd,fd332803bc7457c87b609182270d3aa6,3ea1e04833e79e975e4eb96f90942ca9,YJYCBG,360.06,-0.72,1.00,0.00,0.00
1497517,M,2012,20180801,205102,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,7a1951aa45e76d0e509b62ddf64ac465,825b4cfbf3290599b811e3b8a2e33af1,909c5c3462dd432299b7fc0c45467314,GVYONA,75.39,-0.14,1.00,0.00,0.00
1497523,M,2012,20180801,222356,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,bbfe53da9bf0cbb015f71174b2abbf32,5ad2873beb33647c72a85577aef821aa,3410076c6b6ef705ef87c6f4614a80ab,IWMSIH,20.83,-0.03,1.00,0.00,0.00
1497530,M,2012,20180801,200745,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,3cfa2ab3a32879fae338505b32eda396,3e669d1826abed5a9e4f9758ea22ac93,ae4fe28e24dad723578fa495cbf19de7,HRUBKA,36.83,-0.07,1.00,0.00,0.00
1497532,M,2012,20180801,121442,20180801,0,1,1,0,MDU,DMC,MDS,DMC,M,NULL,I,D,P,PL,74fbf2a78677f173cb86921378028e57,38627910684d228d9ad698177859068c,451bf14a284d5acd1f21569c7bd1ef9d,IWTNVF,81.19,-0.15,1.00,0.00,0.00
