PartnerId,Status,ModifiedDate,CreatedDate,Device,Application,InstalledDate,DeinstalledDate,Connectiv,DCC,ZWROT,PREAUTOR,UNIEWAZ,CASHBACK_A,CONTACTLES,CZASRT,DOWNLOAD,TPWOB,anon_Eid,anon_ParentEid,anon_Name,anon_Logo
1,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,ICT220,PKOEMV,2018-11-02,2018-11-02,TCPIP,Y,1,0,1,0,1,0050,0050,0,f29805d60fb0074d9ef05ad666129fc8,0e80a63245b79a8a4de1f4ba6a518f80,084e1a013352fe978c387c23a2a90c67,242be10812b73ea3b2894dba311f738d
6,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX520,PKOEMV,2018-11-02,2018-11-02,TCPIP,Y,1,0,1,2,1,0039,0049,0,dbe703a64793d3aabee1e7e2acae6f20,4dc7060d76660605e3a424239f4a395c,1261aee638c9a2e2cb34023550281840,242be10812b73ea3b2894dba311f738d
1,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX520,PKOEMV,2018-11-02,2018-11-02,DIALUP,N,1,0,1,0,0,0620,0625,0,599ae0f4df90d50199b3c729420325de,bbb38cd5fc7a38e53cc966ad1a2e60bf,69e28e73cd0a17a0c1caa3d2b2ce6a83,242be10812b73ea3b2894dba311f738d
1,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,ICT220,PKOEMV,2018-11-02,2018-11-02,TCPIP,Y,1,0,1,0,1,0500,0500,0,cc7a0ba32bfb52edfb346035adb94422,aae95e94dcd43c058aef554961326617,572b3a01ca0a46769e8d21122e4895bb,044228e3bcfdf6790c2cc33f543844e9
6,3,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX675,PKOEMV,2018-11-02,2018-11-02,GPRS,N,1,0,1,0,1,2120,0028,0,2bcce6cadfa3e4046e358266126652c5,114bd6163f26264860a9327cd26d4e43,f5f38a64cd18c547f9ff847800648718,242be10812b73ea3b2894dba311f738d
6,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX675,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,0,1,0020,0030,0,f1f0507907cea20e1cb780d5d7f1c50c,7973a3976227dda9b1ba949d06ed89c8,131e6f0f72496287103da84bfef7e134,320278a330ea40f0aefba08cf7a728fc
1,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX520,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,0,1,0015,0015,0,e34e91d0f594b014e3c9603b3ea4d514,b703035162b8fd3f4ca809b64618ba4c,0e1cf85fd3ffdf55a4876640cc3e0e7c,242be10812b73ea3b2894dba311f738d
6,3,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX520,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,0,1,0035,0045,0,c4e2745392ef423e0a57d446854d4870,29f632d7d378173e523346bcdf8d06ba,32dbe19bdd9373e974bcd46e17b1e766,242be10812b73ea3b2894dba311f738d
1,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,ICT220,PKOEMV,2018-11-02,2018-11-02,TCPIP,N,1,0,1,0,1,0400,0400,0,8b08214b01638e3db6f8f9e584c28b68,9074ba05667d774ac9aaa542f447df4b,8f973e18c78a0c5775529568046f4aea,c64ef94437bef571779e4cf7f9d7d80c
1,3,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,ICT220,PKOEMV,2018-11-02,2018-11-02,TCPIP,Y,1,0,1,0,1,2236,2236,0,ced443b411d2e3af1504c37f329967f9,79abd238e176df23bcaa7fdf5dffb41d,3213277c6ae12087dc36be691d76725b,242be10812b73ea3b2894dba311f738d
1,3,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,IWL220,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,0,1,0305,0305,0,56520916c7be44cbad0a325534ed6644,9e62ecea738e88f38f72324f6224dec6,98924718787d832a314caec0b18a5e20,242be10812b73ea3b2894dba311f738d
6,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,Vx510G,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,0,1,0110,0120,0,f1ac62d7f64782a270bc462b195f863a,53c63f9eff7604c9d5a9bd001f5098c5,451eb3d3d4583f0fb623ad5847d1c0e8,242be10812b73ea3b2894dba311f738d
12,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX520,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,0,1,0010,0005,0,c9239b9b3805e88fef1461fa97826845,411b44ff6db52fbd5daa9abba4f2c49b,2787b688f3f211a166e03d5500859272,242be10812b73ea3b2894dba311f738d
1,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,IWL220,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,2,1,0020,0020,0,743115edfdfac8e8a21fe88ec98ba8a1,ca400f89f46714705caf226bfb31d024,b7056421f95e20b2b4cc82187a226b12,242be10812b73ea3b2894dba311f738d
1,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,IWL220,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,0,1,2217,2217,0,6b6e1bbfaa9524b9f5a59de6aaaf0bb8,8921cb863c340c15c81013a822ab0d67,c97ddc5dcae1dc1b572f877050d08f67,242be10812b73ea3b2894dba311f738d
