MCC_Code,MCC_VISA_report_name
0742,Services
0763,Services
0780,Services
1520,Building Materials & Services
1711,Building Materials & Services
1731,Building Materials & Services
1740,Building Materials & Services
1750,Building Materials & Services
1761,Building Materials & Services
1771,Building Materials & Services
1799,Building Materials & Services
2741,Business & Personal Services
2791,Business & Personal Services
2842,Services
3000,Airlines
3001,Airlines
3002,Airlines
3003,Airlines
3005,Airlines
3006,Airlines
3007,Airlines
3008,Airlines
3009,Airlines
3010,Airlines
3011,Airlines
3012,Airlines
3013,Airlines
3014,Airlines
3015,Airlines
3016,Airlines
3017,Airlines
3018,Airlines
3019,Airlines
3020,Airlines
3021,Airlines
3022,Airlines
3023,Airlines
3024,Airlines
3025,Airlines
3026,Airlines
3028,Airlines
3029,Airlines
3030,Airlines
3031,Airlines
3032,Airlines
3033,Airlines
3034,Airlines
3035,Airlines
3036,Airlines
3037,Airlines
3038,Airlines
3039,Airlines
3040,Airlines
3041,Airlines
3042,Airlines
3043,Airlines
3044,Airlines
3045,Airlines
3046,Airlines
3047,Airlines
3048,Airlines
3049,Airlines
3050,Airlines
3051,Airlines
3052,Airlines
3053,Airlines
3054,Airlines
3055,Airlines
3056,Airlines
3057,Airlines
3058,Airlines
3059,Airlines
3060,Airlines
3061,Airlines
3063,Airlines
3064,Airlines
3065,Airlines
3066,Airlines
3067,Airlines
3068,Airlines
3071,Airlines
3072,Airlines
3075,Airlines
3076,Airlines
3077,Airlines
3078,Airlines
3079,Airlines
3082,Airlines
3083,Airlines
3084,Airlines
3085,Airlines
3086,Airlines
3087,Airlines
3088,Airlines
3089,Airlines
3090,Airlines
3094,Airlines
3096,Airlines
3097,Airlines
3098,Airlines
3099,Airlines
3100,Airlines
3102,Airlines
3103,Airlines
3106,Airlines
3110,Airlines
3111,Airlines
3112,Airlines
3115,Airlines
3117,Airlines
3118,Airlines
3125,Airlines
3126,Airlines
3127,Airlines
3129,Airlines
3130,Airlines
3131,Airlines
3132,Airlines
3133,Airlines
3135,Airlines
3136,Airlines
3137,Airlines
3138,Airlines
3143,Airlines
3144,Airlines
3145,Airlines
3146,Airlines
3148,Airlines
3151,Airlines
3154,Airlines
3156,Airlines
3159,Airlines
3161,Airlines
3164,Airlines
3165,Airlines
3167,Airlines
3170,Airlines
3171,Airlines
3172,Airlines
3174,Airlines
3175,Airlines
3176,Airlines
3177,Airlines
3178,Airlines
3180,Airlines
3181,Airlines
3182,Airlines
3183,Airlines
3184,Airlines
3185,Airlines
3186,Airlines
3187,Airlines
3188,Airlines
3190,Airlines
3191,Airlines
3193,Airlines
3196,Airlines
3197,Airlines
3200,Airlines
3203,Airlines
3204,Airlines
3206,Airlines
3211,Airlines
3212,Airlines
3213,Airlines
3215,Airlines
3216,Airlines
3217,Airlines
3218,Airlines
3219,Airlines
3220,Airlines
3221,Airlines
3222,Airlines
3223,Airlines
3226,Airlines
3228,Airlines
3229,Airlines
3231,Airlines
3233,Airlines
3234,Airlines
3235,Airlines
3236,Airlines
3238,Airlines
3239,Airlines
3240,Airlines
3241,Airlines
3242,Airlines
3243,Airlines
3245,Airlines
3246,Airlines
3247,Airlines
3248,Airlines
3251,Airlines
3252,Airlines
3253,Airlines
3254,Airlines
3256,Airlines
3259,Airlines
3260,Airlines
3261,Airlines
3262,Airlines
3263,Airlines
3266,Airlines
3267,Airlines
3280,Airlines
3282,Airlines
3284,Airlines
3285,Airlines
3286,Airlines
3287,Airlines
3292,Airlines
3293,Airlines
3294,Airlines
3295,Airlines
3296,Airlines
3297,Airlines
3298,Airlines
3299,Airlines
3351,Vehicle Hire
3352,Vehicle Hire
3353,Vehicle Hire
3354,Vehicle Hire
3355,Vehicle Hire
3357,Vehicle Hire
3359,Vehicle Hire
3360,Vehicle Hire
3361,Vehicle Hire
3362,Vehicle Hire
3364,Vehicle Hire
3366,Vehicle Hire
3368,Vehicle Hire
3370,Vehicle Hire
3374,Vehicle Hire
3376,Vehicle Hire
3380,Vehicle Hire
3381,Vehicle Hire
3385,Vehicle Hire
3386,Vehicle Hire
3387,Vehicle Hire
3388,Vehicle Hire
3389,Vehicle Hire
3390,Vehicle Hire
3391,Vehicle Hire
3393,Vehicle Hire
3394,Vehicle Hire
3395,Vehicle Hire
3396,Hotels
3398,Vehicle Hire
3400,Vehicle Hire
3405,Vehicle Hire
3409,Vehicle Hire
3412,Vehicle Hire
3414,Vehicle Hire
3420,Vehicle Hire
3421,Vehicle Hire
3423,Vehicle Hire
3425,Vehicle Hire
3427,Vehicle Hire
3428,Vehicle Hire
3429,Vehicle Hire
3430,Vehicle Hire
3431,Vehicle Hire
3432,Vehicle Hire
3433,Vehicle Hire
3434,Vehicle Hire
3435,Vehicle Hire
3436,Vehicle Hire
3437,Vehicle Hire
3438,Vehicle Hire
3439,Vehicle Hire
3441,Vehicle Hire
3501,Hotels
3502,Hotels
3503,Hotels
3504,Hotels
3505,Hotels
3506,Hotels
3507,Hotels
3508,Hotels
3509,Hotels
3510,Hotels
3511,Hotels
3512,Hotels
3513,Hotels
3514,Hotels
3515,Hotels
3516,Hotels
3517,Hotels
3518,Hotels
3519,Hotels
3520,Hotels
3521,Hotels
3522,Hotels
3523,Hotels
3524,Hotels
3525,Hotels
3526,Hotels
3527,Hotels
3528,Hotels
3529,Hotels
3530,Hotels
3531,Hotels
3532,Hotels
3533,Hotels
3534,Hotels
3535,Hotels
3536,Hotels
3537,Hotels
3538,Hotels
3539,Hotels
3540,Hotels
3541,Hotels
3542,Hotels
3543,Hotels
3544,Hotels
3545,Hotels
3546,Hotels
3548,Hotels
3549,Hotels
3550,Hotels
3551,Hotels
3552,Hotels
3553,Hotels
3554,Hotels
3555,Hotels
3556,Hotels
3557,Hotels
3558,Hotels
3559,Hotels
3560,Hotels
3561,Hotels
3562,Hotels
3563,Hotels
3564,Hotels
3565,Hotels
3566,Hotels
3567,Hotels
3568,Hotels
3569,Hotels
3570,Hotels
3571,Hotels
3572,Hotels
3573,Hotels
3574,Hotels
3575,Hotels
3576,Hotels
3577,Hotels
3578,Hotels
3579,Hotels
3580,Hotels
3581,Hotels
3582,Hotels
3583,Hotels
3584,Hotels
3585,Hotels
3586,Hotels
3587,Hotels
3588,Hotels
3589,Hotels
3590,Hotels
3591,Hotels
3592,Hotels
3593,Hotels
3594,Hotels
3595,Hotels
