KOD_POCZTOWY,ADRES,MIEJSCOWOSC,WOJEWODZTWO,POWIAT
34513,Poczta Filia UP Czarny Dunajec,Chochołów,małopolskie,Powiat nowotarski
34514,Poczta Filia UP Kościelisko,Dzianisz,małopolskie,Powiat tatrzański
34520,Poczta Poronin,Poronin,małopolskie,Powiat tatrzański
34521,Poczta Ząb,Ząb,małopolskie,Powiat tatrzański
34530,Poczta Bukowina Tatrzańska,Bukowina Tatrzańska,małopolskie,Powiat tatrzański
34530,Skrytki Pocztowe Poczta Bukowina Tatrzańska,Bukowina Tatrzańska,małopolskie,Powiat tatrzański
34531,"Poczta Murzasichle, ul. Sądelska 55",Murzasichle,małopolskie,Powiat tatrzański
34532,Poczta Jurgów,Jurgów,małopolskie,Powiat tatrzański
34600,"Poczta Limanowa 001, ul. Księdza Łazarskiego 9",Limanowa,małopolskie,Powiat limanowski
34600,"Skrytki Pocztowe Poczta Limanowa 001, ul. Księdza Łazarskiego 9",Limanowa,małopolskie,Powiat limanowski
34601,"Poczta Limanowa 004, ul. Piłsudskiego 84 C",Limanowa,małopolskie,Powiat limanowski
34601,"Skrytki Pocztowe Poczta Limanowa 004, ul. Piłsudskiego 84 C",Limanowa,małopolskie,Powiat limanowski
34602,Poczta Laskowa,Laskowa,małopolskie,Powiat limanowski
34603,Poczta Ujanowice,Ujanowice,małopolskie,Powiat limanowski
34604,Poczta Przyszowa agencja pocztowa UP Łukowice koło Limanowe,Przyszowa,małopolskie,Powiat limanowski
34606,Poczta Łukowica koło Limanowej,Łukowica,małopolskie,Powiat limanowski
34607,Poczta Filia UP Kamienica,Szczawa,małopolskie,Powiat limanowski
34608,"Poczta Kamienica koło Łącka, ul. Kamienica 43",Kamienica,małopolskie,Powiat limanowski
34615,Poczta Słopnice Limanowskie,Słopnice,małopolskie,Powiat limanowski
34617,Poczta Wilkowisko,Wilkowisko,małopolskie,Powiat limanowski
34620,Poczta Jodłownik,Jodłownik,małopolskie,Powiat limanowski
34623,Poczta Filia UP Jodłownik,Szczyrzyc,małopolskie,Powiat limanowski
34625,Poczta Skrzydlna,Skrzydlna,małopolskie,Powiat limanowski
34642,Poczta Dobra koło Limanowej,Dobra,małopolskie,Powiat limanowski
34643,Poczta Jurków koło Limanowej,Jurków,małopolskie,Powiat limanowski
34650,Poczta Tymbark,Tymbark,małopolskie,Powiat limanowski
34651,"Poczta Filia UP Limanowa 001, ul. Łososińska 23",Limanowa,małopolskie,Powiat limanowski
