RowId,TypKarty,TxnKod,TxnData,TxnCzas,DataPrzetw,CTLS,PIN,CB,ProductID,MC_Card_Program,MC_GCMS_Program,MC_Product_Class,PEM,MOTO,TypeClass,TypePayment,Region,Country,anon_MID,anon_POS_ID,anon_NrKarty,anon_AuthKod,anon_Kwota,anon_Interchange,anon_MSC,anon_FlatFee,anon_CashAmount,PartnerId,Status,ModifiedDate,CreatedDate,MCC,LocCity,LocZipCode,CorCity,CorZipCode,CASHBACK_A,DCCMarkup,DCCRebate,anon_Eid,anon_ContractEid,anon_Name,MCC_Code,MCC_VISA_report_name,Code,ZipCode,Lat,Lon,ZipCodeLoc
3795,V,2012,20180801,170530,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,89eca72fe67657d0225449e705029411,0d8636d56e2c204ac818f47ac395abe6,2ecaa85db856f17ac7d7aa2f1ef23af5,LLZAGJ,31.20,-0.06,1.00,0.00,0.00,1,1,2018-02-05,2012-04-10,7999,Warszawa (Mokotów),02511,Warszawa (Mokotów),02511,0,350,1.000,89eca72fe67657d0225449e705029411,21b833cc17f73ecb0c2a171c62c60f89,83e948e51c434bcbdbb759255c65c152,7999,Entertainment,7,02-511,52.1997394246852,21.0256531551367,02511
4223,V,2012,20180801,172108,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,89eca72fe67657d0225449e705029411,0d8636d56e2c204ac818f47ac395abe6,dff825bdb30408133abf1c901c124328,TBOBFD,23.60,-0.05,1.00,0.00,0.00,1,1,2018-02-05,2012-04-10,7999,Warszawa (Mokotów),02511,Warszawa (Mokotów),02511,0,350,1.000,89eca72fe67657d0225449e705029411,21b833cc17f73ecb0c2a171c62c60f89,83e948e51c434bcbdbb759255c65c152,7999,Entertainment,7,02-511,52.1997394246852,21.0256531551367,02511
4270,V,2012,20180801,180105,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,3c5ec215191a015ff8bfa36134e91b7b,a7bee619c48e6e388262eda1956dc18c,816b9072adbe7f60257450c462670dfa,HBIQUN,10.65,-0.02,1.00,0.00,0.00,1,2,2018-03-19,2016-08-02,5462,Warszawa (Praga-Południe),03982,Mińsk Mazowiecki,05300,0,350,1.000,3c5ec215191a015ff8bfa36134e91b7b,a757c3ec59f0e4b0d9c191be53498f05,08fda992170d4d40bee1b9cc5433791f,5462,Food & Drink,9,03-982,52.2249200812243,21.0941851238206,03982
4427,V,2012,20180801,175025,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,89eca72fe67657d0225449e705029411,6bebcf0706b8fa653b1c1af8cb343758,7c2809db21c0a2254c2c3b67c33c3b3a,FMOXRH,24.80,-0.05,1.00,0.00,0.00,1,1,2018-02-05,2012-04-10,7999,Warszawa (Mokotów),02511,Warszawa (Mokotów),02511,0,350,1.000,89eca72fe67657d0225449e705029411,21b833cc17f73ecb0c2a171c62c60f89,83e948e51c434bcbdbb759255c65c152,7999,Entertainment,7,02-511,52.1997394246852,21.0256531551367,02511
4555,V,2012,20180801,190851,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,89eca72fe67657d0225449e705029411,0d8636d56e2c204ac818f47ac395abe6,a20f29d825ea5d9904ce00b0f4d000f5,SADQJT,67.20,-0.14,1.00,0.00,0.00,1,1,2018-02-05,2012-04-10,7999,Warszawa (Mokotów),02511,Warszawa (Mokotów),02511,0,350,1.000,89eca72fe67657d0225449e705029411,21b833cc17f73ecb0c2a171c62c60f89,83e948e51c434bcbdbb759255c65c152,7999,Entertainment,7,02-511,52.1997394246852,21.0256531551367,02511
4652,V,2012,20180801,140451,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,d2c29aa6fbddc1a9d3277c3c466187a0,795166dd1a64bf2a4634c3974c1c6cc1,4bf6db6dca5f1f4f7c2282408942319f,LTLHTN,5.60,-0.01,1.00,0.00,0.00,1,1,2018-07-16,2018-03-29,5462,Warszawa (Ochota),02057,Błonie,05870,2,350,1.000,d2c29aa6fbddc1a9d3277c3c466187a0,5d4b372c2268d12a918521d2f391505e,cae422e7c696aa4d1be52f58b1e4f004,5462,Food & Drink,9,02-057,52.2188338938279,20.9986165157708,02057
4690,V,2012,20180801,191526,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,89eca72fe67657d0225449e705029411,15a38390659ae285bd7b03e8edc21905,81e3c01251840249392cd8a4dcff130f,IKTQBC,15.20,-0.03,1.00,0.00,0.00,1,1,2018-02-05,2012-04-10,7999,Warszawa (Mokotów),02511,Warszawa (Mokotów),02511,0,350,1.000,89eca72fe67657d0225449e705029411,21b833cc17f73ecb0c2a171c62c60f89,83e948e51c434bcbdbb759255c65c152,7999,Entertainment,7,02-511,52.1997394246852,21.0256531551367,02511
4777,V,2012,20180801,171703,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,89eca72fe67657d0225449e705029411,4f265b074584822e75c326751b2c3d9e,f39ca74c623c9f5b82b5cfdbcd1c94d9,QALXNC,41.60,-0.08,1.00,0.00,0.00,1,1,2018-02-05,2012-04-10,7999,Warszawa (Mokotów),02511,Warszawa (Mokotów),02511,0,350,1.000,89eca72fe67657d0225449e705029411,21b833cc17f73ecb0c2a171c62c60f89,83e948e51c434bcbdbb759255c65c152,7999,Entertainment,7,02-511,52.1997394246852,21.0256531551367,02511
4874,V,2012,20180801,121515,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,c49ab504b24db2adefb03761cd75edd0,487c2769c5b61bcfadf4200c8dd34176,3e7b2d32a3b9698eecc5a164217f5342,IUTQIE,12.80,-0.02,1.00,0.00,0.00,1,1,2016-10-27,2016-03-22,5812,Warszawa (Śródmieście),00638,Warszawa (Śródmieście),00638,0,350,1.000,c49ab504b24db2adefb03761cd75edd0,fe03852f566bc23c1a4e3085e1abd627,846347ba5de0e563ffc9ad737be1bb83,5812,Restaurants,20,00-638,52.2177759,21.01632155,00638
4897,V,2012,20180801,091416,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,c49ab504b24db2adefb03761cd75edd0,487c2769c5b61bcfadf4200c8dd34176,5c6704dd5e74717c6c376f7aa2847e92,GFJARK,6.40,-0.02,1.00,0.00,0.00,1,1,2016-10-27,2016-03-22,5812,Warszawa (Śródmieście),00638,Warszawa (Śródmieście),00638,0,350,1.000,c49ab504b24db2adefb03761cd75edd0,fe03852f566bc23c1a4e3085e1abd627,846347ba5de0e563ffc9ad737be1bb83,5812,Restaurants,20,00-638,52.2177759,21.01632155,00638
